item_name,latest_price,lifetime_price_%_change,30d_price_%_change,lifetime_volume,30d_volume_metric,lifetime_market_cap,30d_market_cap,lifetime_average_price,last_30d_average_price
MP9 | Food Chain (Battle-Scarred),1.4,-93.0,14.15,157884,1280,206715.0,1738.0,1.34,1.35
"StatTrak™ Music Kit | Knock2, Make U SWEAT!",2.4,-49.0,14.01,23157,1695,61957.0,3702.0,2.26,2.27
AWP | Chromatic Aberration (Minimal Wear),10.6,-95.0,13.99,75994,3516,1531350.0,33731.0,19.18,9.7
MP7 | Fade (Factory New),5.8,-79.0,13.97,121326,3093,1131133.0,16870.0,8.63,5.52
StatTrak™ Tec-9 | Brother (Field-Tested),0.6,-94.0,13.84,132557,2351,103930.0,1394.0,0.79,0.58
Dual Berettas | Royal Consorts (Minimal Wear),0.9,-78.0,13.78,335121,1785,175117.0,1456.0,0.61,0.83
AWP | Chromatic Aberration (Battle-Scarred),6.1,-88.0,13.75,83250,2615,656362.0,13759.0,8.1,5.24
Canals Pin,2.7,-29.0,13.64,202755,1691,526195.0,4071.0,2.53,2.42
AWP | Mortis (Factory New),7.3,-93.0,13.57,263914,1317,1667998.0,8946.0,7.02,6.75
Sticker | 00 Nation (Glitter) | Rio 2022,1.1,-17.0,13.54,168058,1632,276929.0,1552.0,1.4,0.98
Galil AR | Chromatic Aberration (Battle-Scarred),1.5,-87.0,13.49,134200,1493,176717.0,2192.0,1.36,1.45
SG 553 | Dragon Tech (Factory New),1.6,-86.0,13.48,109588,2738,233046.0,4143.0,1.88,1.51
Galil AR | Signal (Factory New),1.5,-65.0,13.46,379877,2058,352712.0,2971.0,1.06,1.45
StatTrak™ Glock-18 | Wraiths (Field-Tested),0.6,-82.0,13.4,619664,1446,329282.0,770.0,0.51,0.54
StatTrak™ SG 553 | Dragon Tech (Field-Tested),0.8,-79.0,13.39,95444,2700,121095.0,2223.0,1.13,0.82
USP-S | The Traitor (Battle-Scarred),7.6,-91.0,13.33,132305,2472,1221319.0,17486.0,9.49,7.11
Sir Bloody Darryl Royale | The Professionals,61.6,1265.0,13.27,193872,2203,1790031.0,141152.0,29.01,64.43
StatTrak™ M4A1-S | Emphorosaur-S (Battle-Scarred),1.7,-89.0,13.16,43878,1907,118276.0,3179.0,2.28,1.67
Souvenir USP-S | Desert Tactical (Field-Tested),0.5,-34.0,13.12,44242,1803,26466.0,1002.0,0.57,0.58
PP-Bizon | High Roller (Field-Tested),2.8,-72.0,13.05,323652,1223,654031.0,3291.0,2.13,2.67
StatTrak™ USP-S | Flashback (Field-Tested),1.4,-84.0,13.03,356238,2935,649512.0,3593.0,1.84,1.22
Sticker | PGL (Gold) | Copenhagen 2024,0.7,-53.0,12.98,21495,1339,14881.0,949.0,0.73,0.71
P90 | Teardown (Factory New),0.5,-95.0,12.98,521485,5743,198875.0,3127.0,0.49,0.54
P90 | Neoqueen (Minimal Wear),0.7,-93.0,12.98,204833,7439,305204.0,4991.0,0.98,0.67
AK-47 | Inheritance (Field-Tested),85.7,-62.0,12.97,26181,2435,2053715.0,186346.0,77.01,76.58
AK-47 | The Empress (Well-Worn),28.1,-65.0,12.86,206210,1509,4731606.0,38113.0,25.46,25.51
Street Soldier | Phoenix,10.7,291.0,12.82,301901,2636,705207.0,38924.0,6.5,13.46
USP-S | Flashback (Minimal Wear),0.8,-89.0,12.8,1456838,5795,1107007.0,4467.0,0.77,0.77
"Music Kit | TWERL and Ekko & Sidetrack, Under Bright Lights",8.6,-17.0,12.79,44176,3370,384278.0,27871.0,8.34,8.44
AK-47 | Nightwish (Battle-Scarred),4.8,-92.0,12.67,173353,4670,1209607.0,20837.0,6.88,4.46
